shipping_group,shipping_group_code,n_products,median_loaded_weight,max_loaded_weight,dest_province,region,km_median,total_cost
 Smart watch,241505,3,0.0,0.0,گلستان,شمال,521.0,0.0
 Smart watch,241505,3,0.0,0.0,گیلان,شمال,392.5,0.0
 Smart watch,241505,3,0.0,0.0,یزد,شرق,623.0,0.0
 Speaker,241202,6,2.0,2.0,آذربایجان شرقی,غرب,696.0,1392.0
 Speaker,241202,6,2.0,2.0,آذربایجان غربی,غرب,803.5,1607.0
 Speaker,241202,6,2.0,2.0,اردبیل,غرب,698.0,1396.0
 Speaker,241202,6,2.0,2.0,اصفهان,مرکز,430.0,860.0
 Speaker,241202,6,2.0,2.0,ایلام,غرب,644.0,1288.0
 Speaker,241202,6,2.0,2.0,بوشهر,جنوب,1019.0,2038.0
 Speaker,241202,6,2.0,2.0,خراسان جنوبی,شرق,1033.0,2066.0
 Speaker,241202,6,2.0,2.0,خراسان رضوی,شرق,894.0,1788.0
 Speaker,241202,6,2.0,2.0,خراسان شمالی,شرق,700.0,1400.0
 Speaker,241202,6,2.0,2.0,خوزستان,جنوب,774.0,1548.0
 Speaker,241202,6,2.0,2.0,زنجان,غرب,353.0,706.0
 Speaker,241202,6,2.0,2.0,سمنان,شرق,282.0,564.0
 Speaker,241202,6,2.0,2.0,سیستان و بلوچستان,شرق,1647.5,3295.0
 Speaker,241202,6,2.0,2.0,فارس,جنوب,932.0,1864.0
 Speaker,241202,6,2.0,2.0,قزوین,شمال,199.0,398.0
 Speaker,241202,6,2.0,2.0,قم,مرکز,128.0,256.0
 Speaker,241202,6,2.0,2.0,لرستان,مرکز,414.5,829.0
 Speaker,241202,6,2.0,2.0,مازندران,شمال,231.0,462.0
 Speaker,241202,6,2.0,2.0,مرکزی,مرکز,249.0,498.0
 Speaker,241202,6,2.0,2.0,هرمزگان,جنوب,1261.0,2522.0
 Speaker,241202,6,2.0,2.0,همدان,مرکز,299.5,599.0
 Speaker,241202,6,2.0,2.0,چهار محال بختیاری,جنوب,531.5,1063.0
 Speaker,241202,6,2.0,2.0,کردستان,غرب,485.0,970.0
 Speaker,241202,6,2.0,2.0,کرمان,شرق,968.0,1936.0
 Speaker,241202,6,2.0,2.0,کرمانشاه,غرب,479.0,958.0
 Speaker,241202,6,2.0,2.0,کهگیلویه و بویراحمد,جنوب,888.0,1776.0
 Speaker,241202,6,2.0,2.0,گلستان,شمال,521.0,1042.0
 Speaker,241202,6,2.0,2.0,گیلان,شمال,392.5,785.0
 Speaker,241202,6,2.0,2.0,یزد,شرق,623.0,1246.0
 Speaker,241502,22,0.0,2.0,آذربایجان شرقی,غرب,696.0,0.0
 Speaker,241502,22,0.0,2.0,آذربایجان غربی,غرب,803.5,0.0
 Speaker,241502,22,0.0,2.0,اردبیل,غرب,698.0,0.0
 Speaker,241502,22,0.0,2.0,اصفهان,مرکز,430.0,0.0
 Speaker,241502,22,0.0,2.0,ایلام,غرب,644.0,0.0
 Speaker,241502,22,0.0,2.0,بوشهر,جنوب,1019.0,0.0
 Speaker,241502,22,0.0,2.0,خراسان جنوبی,شرق,1033.0,0.0
 Speaker,241502,22,0.0,2.0,خراسان رضوی,شرق,894.0,0.0
 Speaker,241502,22,0.0,2.0,خراسان شمالی,شرق,700.0,0.0
 Speaker,241502,22,0.0,2.0,خوزستان,جنوب,774.0,0.0
 Speaker,241502,22,0.0,2.0,زنجان,غرب,353.0,0.0
 Speaker,241502,22,0.0,2.0,سمنان,شرق,282.0,0.0
 Speaker,241502,22,0.0,2.0,سیستان و بلوچستان,شرق,1647.5,0.0
 Speaker,241502,22,0.0,2.0,فارس,جنوب,932.0,0.0
 Speaker,241502,22,0.0,2.0,قزوین,شمال,199.0,0.0
 Speaker,241502,22,0.0,2.0,قم,مرکز,128.0,0.0
 Speaker,241502,22,0.0,2.0,لرستان,مرکز,414.5,0.0
 Speaker,241502,22,0.0,2.0,مازندران,شمال,231.0,0.0
 Speaker,241502,22,0.0,2.0,مرکزی,مرکز,249.0,0.0
 Speaker,241502,22,0.0,2.0,هرمزگان,جنوب,1261.0,0.0
 Speaker,241502,22,0.0,2.0,همدان,مرکز,299.5,0.0
 Speaker,241502,22,0.0,2.0,چهار محال بختیاری,جنوب,531.5,0.0
 Speaker,241502,22,0.0,2.0,کردستان,غرب,485.0,0.0
 Speaker,241502,22,0.0,2.0,کرمان,شرق,968.0,0.0
 Speaker,241502,22,0.0,2.0,کرمانشاه,غرب,479.0,0.0
 Speaker,241502,22,0.0,2.0,کهگیلویه و بویراحمد,جنوب,888.0,0.0
 Speaker,241502,22,0.0,2.0,گلستان,شمال,521.0,0.0
 Speaker,241502,22,0.0,2.0,گیلان,شمال,392.5,0.0
 Speaker,241502,22,0.0,2.0,یزد,شرق,623.0,0.0
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,آذربایجان شرقی,غرب,696.0,1111.1394074541922
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,آذربایجان غربی,غرب,803.5,1282.7593590365566
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,اردبیل,غرب,698.0,1114.332336785957
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,اصفهان,مرکز,430.0,686.4798063294578
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,ایلام,غرب,644.0,1028.1232448283042
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,بوشهر,جنوب,1019.0,1626.7974945342266
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,خراسان جنوبی,شرق,1033.0,1649.147999856581
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,خراسان رضوی,شرق,894.0,1427.239411298919
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,خراسان شمالی,شرق,700.0,1117.525266117722
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,خوزستان,جنوب,774.0,1235.6636513930239
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,زنجان,غرب,353.0,563.5520270565083
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,سمنان,شرق,282.0,450.2030357788537
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,سیستان و بلوچستان,شرق,1647.5,2630.175537041353
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,فارس,جنوب,932.0,1487.9050686024527
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,قزوین,شمال,199.0,317.6964685106095
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,قم,مرکز,128.0,204.34747723295487
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,لرستان,مرکز,414.5,661.7346040082797
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,مازندران,شمال,231.0,368.7833378188482
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,مرکزی,مرکز,249.0,397.5197018047325
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,هرمزگان,جنوب,1261.0,2013.141943677782
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,همدان,مرکز,299.5,478.14116743179676
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,چهار محال بختیاری,جنوب,531.5,848.5209699165274
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,کردستان,غرب,485.0,774.2853629529931
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,کرمان,شرق,968.0,1545.3777965742213
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,کرمانشاه,غرب,479.0,764.7065749576983
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,کهگیلویه و بویراحمد,جنوب,888.0,1417.6606233036243
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,گلستان,شمال,521.0,831.7580909247616
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,گیلان,شمال,392.5,626.6123813588655
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0,یزد,شرق,623.0,994.5974868447726
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,آذربایجان شرقی,غرب,696.0,1042.5600086733402
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,آذربایجان غربی,غرب,803.5,1203.587596219869
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,اردبیل,غرب,698.0,1045.5558707672292
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,اصفهان,مرکز,430.0,644.1103501861154
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,ایلام,غرب,644.0,964.6675942322287
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,بوشهر,جنوب,1019.0,1526.391736836399
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,خراسان جنوبی,شرق,1033.0,1547.3627714936215
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,خراسان رضوی,شرق,894.0,1339.1503559683422
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,خراسان شمالی,شرق,700.0,1048.5517328611181
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,خوزستان,جنوب,774.0,1159.3986303350077
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,زنجان,غرب,353.0,528.7696595713924
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,سمنان,شرق,282.0,422.4165552383362
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,سیستان و بلوچستان,شرق,1647.5,2467.8413998409887
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,فارس,جنوب,932.0,1396.0717357522315
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,قزوین,شمال,199.0,298.0882783419464
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,قم,مرکز,128.0,191.73517400889017
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,لرستان,مرکز,414.5,620.8924189584764
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,مازندران,شمال,231.0,346.022071844169
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,مرکزی,مرکز,249.0,372.98483068916914
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,هرمزگان,جنوب,1261.0,1888.8910501969572
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,همدان,مرکز,299.5,448.6303485598641
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,چهار محال بختیاری,جنوب,531.5,796.1503514509775
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,کردستان,غرب,485.0,726.4965577680604
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,کرمان,شرق,968.0,1449.9972534422318
" TV(40""-50"")",241004,561,1.4979310469444544,2.0,کرمانشاه,غرب,479.0,717.5089714863936
